accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Yunnanosaurus huangi,1092070,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092070,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092070,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092070,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Sinosaurus triassicus,1092071,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Dinosauromorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lukousaurus yini,1092072,Reptilia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lukousaurus yini,1092072,Reptilia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Tetrapoda,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Lufengosaurus huenei,1092073,Saurischia,49501,CN,201.3,199.3,25.168743,102.084496,37.8,120.17,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
