taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Yunnanosaurus_huangi,49501,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,49501,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,49501,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Lufengosaurus_huenei,49501,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Lufengosaurus_huenei,49501,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,49773,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,71803,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,71803,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Lufengosaurus_huenei,59348,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,49773,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Yunnanosaurus_huangi,49773,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Yunnanosaurus_huangi,49503,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Yunnanosaurus_huangi,49503,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Yunnanosaurus_huangi,47081,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,11.49557,3.752792,51.96543,9.166032
Sinosaurus_triassicus,59348,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Sinosaurus_triassicus,49775,Lufeng Formation (Zhangjiawa and Shawan Members),China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Coloradisaurus_brevis,52032,Los Colorados Formation (Agua de la Peña Group),Argentina,Norian,21.26407,0.3352539,37.450503,1.1838146
Coloradisaurus_brevis,52032,Los Colorados Formation (Agua de la Peña Group),Argentina,Norian,21.26407,0.3352539,37.450503,1.1838146
Laquintasaura_venezuelae,159703,La Quinta Formation,Venezuela,Hettangian,39.13739,0.236335,10.579260000000003,1.181562029
Laquintasaura_venezuelae,159703,La Quinta Formation,Venezuela,Hettangian,39.13739,0.236335,10.579260000000003,1.181562029
Eucnemesaurus_entaxonis,172834,Elliot Formation (Lower),South Africa,Norian,14.16898,0.6965679,44.745332000000005,3.1775231
Eucnemesaurus_entaxonis,172834,Elliot Formation (Lower),South Africa,Norian,14.16898,0.6965679,44.745332000000005,3.1775231
Lufengosaurus_huenei,173377,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Lufengosaurus_huenei,173377,"Lufeng Formation (Shawan Member), Zhenzhuchong Formation",China,Hettangian,12.59045,2.152691,62.44298,6.0857849999999996
Dracoraptor_hanigani,176060,Blue Lias Formation,UK,Hettangian,29.91907,1.124565,41.82528,3.1641069999999996
Dracoraptor_hanigani,176060,Blue Lias Formation,UK,Hettangian,29.91907,1.124565,41.82528,3.1641069999999996
Mussaurus_patagonicus,179278,Laguna Colorada Formation,Argentina,Norian,9.250183,2.254001,26.645966,8.069233
Mussaurus_patagonicus,179278,Laguna Colorada Formation,Argentina,Norian,9.250183,2.254001,26.645966,8.069233
Massospondylus_carinatus,24755,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,Hettangian,26.34271,0.2511174,46.678441,1.3500584
Massospondylus_carinatus,24755,"Elliot Formation (Upper), Forest Sandstone Formation, Clarens Formation",South Africa and Zimbabwe,Hettangian,26.34271,0.2511174,46.678441,1.3500584
Scelidosaurus_harrisonii,52260,Charmouth Mudstone Formation,UK,Sinemurian,23.3205,1.831578,35.734563,4.759368
Scelidosaurus_harrisonii,52260,Charmouth Mudstone Formation,UK,Sinemurian,23.3205,1.831578,35.734563,4.759368
Ixalerpeton_polesinensis,175578,Santa Maria Formation (Alemoa Member),Brazil,Carnian,20.94003,0.6687132,49.524597,1.6672589999999998
Ixalerpeton_polesinensis,175578,Santa Maria Formation (Alemoa Member),Brazil,Carnian,20.94003,0.6687132,49.524597,1.6672589999999998
Dromomeron_gigas,182613,Quebrada del Barro Formation,Argentina,Norian,18.24973,1.142106,33.075625,6.0775099
Dromomeron_gigas,182613,Quebrada del Barro Formation,Argentina,Norian,18.24973,1.142106,33.075625,6.0775099
